feature,importance
trend_strength,0.05424868899640841
feat_sadf_10_60,0.044764825532961294
feat_cs_spread_60,0.044446183955797074
feat_cs_spread_20,0.043242771234044956
feat_cross_ma_ratio_5_20,0.039242487160142676
feat_serial_corr_lag10_20,0.03748856939128908
feat_roc_5,0.03603620708858956
feat_serial_corr_lag5_20,0.03388447525958979
feat_vwap_dist_20,0.03370423972421804
feat_ljung_box_20,0.0336549293915612
feat_vwap_dist_60,0.03325627498845053
feat_rsi_21,0.03310039255132762
feat_hl_vol_20,0.032091238173962554
feat_ewm_vol_40,0.03164159698992863
feat_shannon_100,0.031151361909918265
feat_sin_time,0.030951206667601896
feat_roc_10,0.030392272428626726
feat_stoch_k_14,0.030098991598032178
feat_serial_corr_lag1_20,0.029970947540228755
feat_ewm_vol_20,0.02855818884377898
feat_ewm_vol_10,0.02837363943621535
feat_roc_20,0.028028538203905988
feat_shannon_50,0.027958224617574606
feat_adf_test_100,0.027864485513798578
feat_rsi_14,0.02678776311754865
feat_cross_ma_ratio_10_40,0.026697568412501253
feat_adx_14,0.02623894299486053
feat_cos_time,0.024545707481860624
feat_rsi_7,0.023164027871001212
feat_lz_entropy_100,0.012132324246837613
feat_lz_entropy_50,0.010852003057641658
feat_sin_dow,0.010220624064118203
feat_cos_dow,0.005690838671071781
feat_us_sess,0.005107129199130624
feat_cross_ma_sig_5_20,0.0028543010634611778
feat_cross_ma_sig_10_40,0.0015580326220141255
feat_amihud_60,0.0
feat_amihud_20,0.0
feat_eu_sess,0.0
feat_asia_sess,0.0
