feature,importance
feat_serial_corr_lag1_20,190
feat_cs_spread_20,180
feat_serial_corr_lag10_20,171
feat_cross_ma_ratio_5_20,166
feat_cs_spread_60,163
feat_roc_20,163
price,153
feat_sin_time,139
feat_roc_10,139
feat_adx_14,136
feat_stoch_k_14,127
event_idx,117
feat_ljung_box_20,117
feat_ewm_vol_40,116
feat_shannon_100,114
feat_sadf_10_60,111
feat_roc_5,111
feat_amihud_20,110
feat_cos_time,108
feat_hl_vol_20,107
feat_ewm_vol_10,104
feat_adf_test_100,87
feat_rsi_21,87
feat_amihud_60,86
feat_vwap_dist_20,84
feat_cross_ma_ratio_10_40,83
feat_vwap_dist_60,76
feat_shannon_50,69
feat_rsi_7,66
feat_serial_corr_lag5_20,64
feat_lz_entropy_100,59
feat_rsi_14,50
feat_ewm_vol_20,48
feat_lz_entropy_50,46
feat_sin_dow,41
feat_cos_dow,16
feat_cross_ma_sig_5_20,2
feat_cross_ma_sig_10_40,1
feat_us_sess,1
feat_eu_sess,0
feat_asia_sess,0
