feature,importance
feat_sadf_10_60,17.7007896900177
feat_roc_20,16.68559980392456
feat_serial_corr_lag5_20,10.669140100479126
feat_rsi_14,9.510867953300476
feat_shannon_100,9.241640090942383
feat_cs_spread_60,7.0476601123809814
feat_rsi_7,6.901400089263916
feat_vwap_dist_20,6.338479995727539
feat_vwap_dist_60,5.839560031890869
feat_serial_corr_lag1_20,5.490390181541443
feat_ewm_vol_20,4.620309829711914
feat_sin_time,3.3916399478912354
feat_lz_entropy_50,3.013279914855957
feat_cos_time,2.8086600303649902
feat_ljung_box_20,2.7752599716186523
feat_amihud_60,2.5076799392700195
feat_roc_10,2.3028900623321533
feat_adx_14,1.753000020980835
feat_cos_dow,1.7128700017929077
feat_cross_ma_ratio_10_40,0.7690479755401611
feat_rsi_21,0.0
feat_lz_entropy_100,0.0
feat_roc_5,0.0
feat_serial_corr_lag10_20,0.0
feat_adf_test_100,0.0
feat_shannon_50,0.0
feat_cross_ma_sig_10_40,0.0
feat_ewm_vol_10,0.0
feat_cross_ma_sig_5_20,0.0
feat_cross_ma_ratio_5_20,0.0
feat_cs_spread_20,0.0
feat_amihud_20,0.0
feat_us_sess,0.0
feat_stoch_k_14,0.0
feat_asia_sess,0.0
feat_sin_dow,0.0
feat_hl_vol_20,0.0
feat_ewm_vol_40,0.0
feat_eu_sess,0.0
