target_bars,n_bars,actual_bars_per_day,AC1,Multi_ACF_sum,VoV_ratio,JB_stat,Skewness,Kurtosis,independence,identically_dist,normality,trading_density,density_penalty,weighted_score
4,7170,4.021312394840157,0.008648824271091825,0.1349015652011935,2.7457516663599892e-05,16613.82382841195,-0.446177883213905,10.404227450449063,0.07074135450917944,6.864379165899972e-05,0.06592539147060843,0.11380818844643857,0.7587212563095905,0.2505435782178854
6,10755,6.0319685922602355,-0.017374274692937543,0.12343607039537789,2.0405703088513078e-05,151159.12356677727,-1.0394489451738413,21.248950412273828,0.09784078254389475,5.101425772128269e-05,0.10294927138786435,0.09261637689287718,0.6174425126191811,0.29345744508235755
8,14342,8.043746494671902,0.006983235288770547,0.09679239283068983,1.3208808429016357e-05,189359.6886364817,-0.9580790129457702,20.69819822821951,0.05347904135990386,3.302202107254089e-05,0.10141637389933708,0.06847504206393716,0.4565002804262478,0.22340347934425064
10,17925,10.053280987100393,0.01014779437844824,0.10400580899142471,1.257405472503005e-05,380206.04619896895,-1.0214394506918607,25.470370170388478,0.06671902302199625,3.1435136812575124e-05,0.11144084670607238,0.04452047111609646,0.2968031407739764,0.2227117759809777
12,21511,12.064498037016264,0.01832851083239272,0.10254026799368178,8.897254069003835e-06,560742.2668061268,-1.0488601457404334,27.924955842602788,0.09491186831147905,2.2243135172509586e-05,0.11661256181373394,0.02641951766685362,0.17613011777902415,0.23796619092723914
15,26889,15.080762759394279,-0.0014885109593524783,0.08846684268501051,7.568659008695945e-06,1069349.9202807883,-1.145421537625531,33.809814627009864,0.03174984116323683,1.892164752173986e-05,0.1284021574399255,0.0,0.0,0.16017092025068408
20,35852,20.107683679192373,-0.0199591006997798,0.10796361152983588,5.804991528399349e-06,2592469.939728467,-1.319000253798082,44.57568126811726,0.10224593590818006,1.4512478820998372e-05,0.14846794038416986,0.0,0.0,0.25072838877117093
25,44816,25.13516545148626,-0.016195273289453173,0.14566012236605072,4.399352490310077e-06,4577940.870176646,-1.402932378149591,52.434548467378875,0.10038149322290131,1.0998381225775191e-05,0.15908075588617493,0.0,0.0,0.259473247490302
30,53779,30.162086371284353,-0.017535976701181642,0.10891050698290407,3.639905662065953e-06,8533465.254278844,-1.659789112749295,64.62213888057475,0.09404907054900696,9.099764155164883e-06,0.16850723253550648,0.0,0.0,0.2625654028486686
