combo_id,recall,cpr,coverage,lift,n_candidates,n_true_positives,n_events,base_rate
rate=0.05_fast=5_slow=20,0.04012036108324975,0.5333333333333333,0.07267441860465117,1.0173752310536044,75,40,1032,0.5242248062015504
rate=0.05_fast=5_slow=30,0.0391566265060241,0.52,0.07267441860465117,0.9919408502772643,75,39,1032,0.5242248062015504
rate=0.05_fast=5_slow=40,0.041082164328657314,0.5466666666666666,0.07267441860465117,1.0428096118299444,75,41,1032,0.5242248062015504
rate=0.05_fast=5_slow=50,0.042042042042042045,0.56,0.07267441860465117,1.0682439926062848,75,42,1032,0.5242248062015504
rate=0.05_fast=5_slow=60,0.041082164328657314,0.5466666666666666,0.07267441860465117,1.0428096118299444,75,41,1032,0.5242248062015504
rate=0.05_fast=8_slow=20,0.04012036108324975,0.5333333333333333,0.07267441860465117,1.0173752310536044,75,40,1032,0.5242248062015504
rate=0.05_fast=8_slow=30,0.042042042042042045,0.56,0.07267441860465117,1.0682439926062848,75,42,1032,0.5242248062015504
rate=0.05_fast=8_slow=40,0.04012036108324975,0.5333333333333333,0.07267441860465117,1.0173752310536044,75,40,1032,0.5242248062015504
rate=0.05_fast=8_slow=50,0.04012036108324975,0.5333333333333333,0.07267441860465117,1.0173752310536044,75,40,1032,0.5242248062015504
rate=0.05_fast=8_slow=60,0.04012036108324975,0.5333333333333333,0.07267441860465117,1.0173752310536044,75,40,1032,0.5242248062015504
rate=0.05_fast=10_slow=20,0.041082164328657314,0.5466666666666666,0.07267441860465117,1.0428096118299444,75,41,1032,0.5242248062015504
rate=0.05_fast=10_slow=30,0.042042042042042045,0.56,0.07267441860465117,1.0682439926062848,75,42,1032,0.5242248062015504
rate=0.05_fast=10_slow=40,0.03819095477386935,0.5066666666666667,0.07267441860465117,0.9665064695009242,75,38,1032,0.5242248062015504
rate=0.05_fast=10_slow=50,0.04012036108324975,0.5333333333333333,0.07267441860465117,1.0173752310536044,75,40,1032,0.5242248062015504
rate=0.05_fast=10_slow=60,0.04012036108324975,0.5333333333333333,0.07267441860465117,1.0173752310536044,75,40,1032,0.5242248062015504
rate=0.05_fast=12_slow=20,0.041082164328657314,0.5466666666666666,0.07267441860465117,1.0428096118299444,75,41,1032,0.5242248062015504
rate=0.05_fast=12_slow=30,0.04012036108324975,0.5333333333333333,0.07267441860465117,1.0173752310536044,75,40,1032,0.5242248062015504
rate=0.05_fast=12_slow=40,0.0391566265060241,0.52,0.07267441860465117,0.9919408502772643,75,39,1032,0.5242248062015504
