combo_id,base_combo_id,uniqueness,turnover,avg_inter_event_time,regime_stability,oos_recall,oos_unreliable,low_info,net_pnl,sharpe,mdd,trade_count,selected_deep_combo_id,recall,cpr,coverage,lift,n_candidates,n_true_positives,n_events,base_rate,effective_recall,cusum_rate,effective_recall_rate_z,score,rank
rate=0.15_fast=15_slow=40,rate=0.15_fast=15_slow=40,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9041772151898734,0.04895104895104895,False,False,4128.3857499999995,0.08073870232155522,-1813.7112499999998,169,rate=0.15_fast=15_slow=40_vb=10,0.07194244604316546,0.5426356589147286,0.125,1.0351201478743066,129,70,1032,0.5242248062015504,0.07446907538664076,0.15,0.7631578947368421,0.3767543859649123,12
rate=0.15_fast=10_slow=30,rate=0.15_fast=10_slow=30,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9405063291139241,0.0456140350877193,False,False,9214.198250000001,0.15863593035451964,-2287.432500000001,189,rate=0.15_fast=10_slow=30_vb=10,0.07003089598352215,0.5271317829457365,0.125,1.0055452865064696,129,68,1032,0.5242248062015504,0.07041923736605554,0.15,0.4473684210526315,0.325125313283208,13
rate=0.15_fast=5_slow=40,rate=0.15_fast=5_slow=40,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9178481012658228,0.0456140350877193,False,False,12607.905749999998,0.21142687342128308,-2060.500250000001,187,rate=0.15_fast=5_slow=40_vb=10,0.06907216494845361,0.5193798449612403,0.125,0.9907578558225508,129,67,1032,0.5242248062015504,0.06843379004135146,0.15,0.1578947368421053,0.31867167919799505,14
rate=0.15_fast=8_slow=50,rate=0.15_fast=8_slow=50,0.5201243971695146,1774.2724810565805,13.577233655674023,0.8915189873417722,0.0456140350877193,False,False,6264.1317500000005,0.12351312625625399,-1843.6857500000006,165,rate=0.15_fast=8_slow=50_vb=10,0.07003089598352215,0.5271317829457365,0.125,1.0055452865064696,129,68,1032,0.5242248062015504,0.07041923736605554,0.15,0.4473684210526315,0.30250626566416045,15
rate=0.15_fast=12_slow=50,rate=0.15_fast=12_slow=50,0.5201243971695146,1774.2724810565805,13.577233655674023,0.8915189873417722,0.0456140350877193,False,False,5078.691250000001,0.10784815198747655,-1573.699250000001,159,rate=0.15_fast=12_slow=50_vb=10,0.07003089598352215,0.5271317829457365,0.125,1.0055452865064696,129,68,1032,0.5242248062015504,0.07041923736605554,0.15,0.4473684210526315,0.256077694235589,16
rate=0.15_fast=15_slow=20,rate=0.15_fast=15_slow=20,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9178481012658228,0.04895104895104895,False,False,10103.71125,0.167653924134905,-2349.4604999999992,194,rate=0.15_fast=15_slow=20_vb=10,0.06907216494845361,0.5193798449612403,0.125,0.9907578558225508,129,67,1032,0.5242248062015504,0.06843379004135146,0.15,0.1578947368421053,0.2091478696741855,17
rate=0.15_fast=8_slow=60,rate=0.15_fast=8_slow=60,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9015189873417722,0.04225352112676056,False,False,6385.965249999999,0.12850855949858916,-1843.6857500000006,157,rate=0.15_fast=8_slow=60_vb=10,0.06907216494845361,0.5193798449612403,0.125,0.9907578558225508,129,67,1032,0.5242248062015504,0.06843379004135146,0.15,0.1578947368421053,0.18652882205513788,18
rate=0.15_fast=12_slow=30,rate=0.15_fast=12_slow=30,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9341772151898734,0.0456140350877193,False,False,8883.74525,0.14949208189324378,-2287.432499999998,187,rate=0.15_fast=12_slow=30_vb=10,0.06907216494845361,0.5193798449612403,0.125,0.9907578558225508,129,67,1032,0.5242248062015504,0.06843379004135146,0.15,0.1578947368421053,0.18295739348370932,19
rate=0.15_fast=10_slow=60,rate=0.15_fast=10_slow=60,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9015189873417722,0.04225352112676056,False,False,5414.150249999999,0.1120568841670098,-1566.5229999999992,155,rate=0.15_fast=10_slow=60_vb=10,0.06907216494845361,0.5193798449612403,0.125,0.9907578558225508,129,67,1032,0.5242248062015504,0.06843379004135146,0.15,0.1578947368421053,0.15200501253132837,20
rate=0.15_fast=12_slow=40,rate=0.15_fast=12_slow=40,0.5201243971695146,1774.2724810565805,13.577233655674023,0.8851898734177215,0.04225352112676056,False,False,6005.831249999999,0.1176696738640045,-2222.4612500000003,167,rate=0.15_fast=12_slow=40_vb=10,0.06907216494845361,0.5193798449612403,0.125,0.9907578558225508,129,67,1032,0.5242248062015504,0.06843379004135146,0.15,0.1578947368421053,0.14248120300751882,21
rate=0.15_fast=10_slow=50,rate=0.15_fast=10_slow=50,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9015189873417722,0.0456140350877193,False,False,5624.3817500000005,0.11138695077781845,-1973.679250000001,165,rate=0.15_fast=10_slow=50_vb=10,0.06907216494845361,0.5193798449612403,0.125,0.9907578558225508,129,67,1032,0.5242248062015504,0.06843379004135146,0.15,0.1578947368421053,0.12581453634085216,22
