target_bars,n_bars,actual_bars_per_day,AC1,Ljung_Box_p,VoV_ratio,JB_stat,Skewness,Kurtosis,independence,identically_dist,normality,weighted_score
4,5997,3.9741550695825048,-0.017784771911139446,0.010993105795014927,4.275727316037728e-05,84074.31468895265,0.3666184205965561,21.329865526735052,0.2839583305806226,0.00012827181948113183,0.08338379896887915,0.36747040136898285
6,8995,5.960901259111995,0.005789266279635224,0.2477042895844586,2.191165006785279e-05,143829.9409196999,0.27003348027699364,22.58342934853082,0.02894633139817612,6.573495020355836e-05,0.08489370917364066,0.11390577552202033
8,11993,7.947647448641485,-0.005726522202193625,0.0334763009823068,2.2395243833052085e-05,584852.2831246902,0.2353323634850196,37.20911229809741,0.11125110609943414,6.718573149915625e-05,0.10635427274056145,0.21767256457149475
10,14992,9.9350563286945,-0.0002928781035472171,0.006692662780657451,1.3734639864721037e-05,973099.1839810904,0.3931154165850984,42.46232724390408,0.21800107661444884,4.120391959416311e-05,0.11834416359213012,0.33638644412617313
12,17989,11.921139827700465,-0.004886025752555696,0.0013441994550145873,1.1712666300036259e-05,1566757.7406123956,0.39716916989793377,48.714034497450335,0.26770913148770553,3.513799890010877e-05,0.12739453471850157,0.39513880420510716
15,22487,14.901921802518224,-0.0026859386584207174,0.42779955746612747,1.0888268754428436e-05,3098823.859655973,0.38555633660088007,60.505438730663855,0.013429693292103586,3.266480626328531e-05,0.13176331831718419,0.14522567641555106
20,29982,19.868787276341948,-0.0029298876371790248,0.028994081468458582,8.029726598942828e-06,7101221.176151252,0.3871381802316573,78.39215920272001,0.11967903084360221,2.408917979682848e-05,0.13580437716677013,0.2555074971901692
25,37478,24.836315440689198,-0.00567114257724914,2.0430225836238042e-05,6.122325941773226e-06,13823422.960885575,0.5924080191653264,97.07984050953077,0.2782535617570645,1.8366977825319677e-05,0.14415037377366924,0.42242230250855906
30,44973,29.80318091451292,-0.006668245775008349,0.13499993611635486,4.8871010590850615e-06,23381259.531473722,0.5115020251622131,114.69925018252826,0.03334122887504174,1.4661303177255183e-05,0.14466386065777068,0.17801975083598967
