date,label,prob,signal_binary,bet_size,ret,pnl_sized_net
2022-02-22 09:36:00,1.0,0.4246324430806362,-1,-0.15073511383872762,0.0078234265734267,-0.0012094121179221458
2022-02-23 14:12:00,-1.0,0.1519239509249186,-1,-0.6961520981501628,-0.0053775098659959,0.003604334356406214
2022-02-24 11:25:00,-1.0,0.013709644257259278,-1,-0.9725807114854814,-0.0091803566722306,0.008734121681671427
2022-02-24 14:11:00,1.0,0.1292711432382849,-1,-0.7414577135234302,0.0059489456159822,-0.004559183157006081
2022-02-25 09:32:00,-1.0,0.3358401042529358,-1,-0.3283197914941284,-0.0101969670559526,0.003282202139384028
2022-02-28 09:51:00,1.0,0.07512174384350358,-1,-0.8497565123129929,0.0152328960112706,-0.013114203889426404
2022-03-01 09:36:00,-1.0,0.9057664283414809,1,0.8115328566829618,-0.0057241977450129,-0.0048076811195650795
2022-03-02 10:21:00,1.0,0.028177330000707906,-1,-0.9436453399985842,0.0053548698591054,-0.0052418270568434025
2022-03-04 09:33:00,-1.0,0.08130950714835487,-1,-0.8373809857032902,-0.0181051697359663,0.014993448682688182
2022-03-07 09:33:00,-1.0,0.6018636566044712,1,0.20372731320894233,-0.0084512134496316,-0.0017624884720905114
2022-03-07 14:32:00,-1.0,0.7034148360873481,1,0.40682967217469623,-0.0084578257871753,-0.0035222604267421583
2022-03-08 10:31:00,-1.0,0.7419012269051031,1,0.48380245381020615,-0.0089935561633675,-0.0044478650310791415
2022-03-08 14:50:00,1.0,0.8724999768188795,1,0.744999953637759,0.0113442994895065,0.008302502603007642
2022-03-09 11:17:00,-1.0,0.10912465587329222,-1,-0.7817506882534155,-0.0087274107100507,0.006666309191601682
2022-03-09 13:49:00,1.0,0.14971015574847707,-1,-0.7005796885030459,0.0172447676132454,-0.012221449860495486
2022-03-09 14:11:00,1.0,0.9625645518300623,1,0.9251291036601246,0.0148273363921758,0.01353217460542872
2022-03-10 09:36:00,-1.0,0.13487356984584853,-1,-0.7302528603083029,-0.0233590282644241,0.016911946632056533
2022-03-11 09:31:00,1.0,0.765191558943947,1,0.5303831178878939,0.0166467352308061,0.00872307071079161
2022-03-11 13:55:00,1.0,0.3615938353778935,-1,-0.27681232924421295,0.0137392368136262,-0.0038585526102665494
2022-03-14 11:11:00,-1.0,0.5638282040343929,1,0.12765640806878586,-0.0339925834363411,-0.004364902384075568
2022-03-15 09:37:00,1.0,0.8798981337993134,1,0.7597962675986267,0.0196860081696934,0.014805396277729392
2022-03-15 13:58:00,-1.0,0.5900674622689013,1,0.18013492453780255,-0.0138489030080412,-0.002530698083192409
2022-03-16 13:50:00,1.0,0.2094526623029337,-1,-0.5810946753941326,0.0208071835473593,-0.012207162504397715
2022-03-17 13:02:00,-1.0,0.1300946140121946,-1,-0.7398107719756108,-0.0180226570545829,0.013185393674207544
2022-03-18 11:27:00,1.0,0.9705121767759742,1,0.9410243535519485,0.0134138162307175,0.012434522876465178
2022-03-25 13:15:00,-1.0,0.2681241864531159,-1,-0.46375162709376816,-0.0210879463215911,0.009686819093285162
2022-03-28 09:32:00,1.0,0.01564105144353576,-1,-0.9687178971129284,0.0099388004895961,-0.009821637489529063
2022-03-30 09:46:00,1.0,0.5750621048498107,1,0.15012420969962137,0.0133524766690595,0.0019745051655352657
