Feature,Importance
ATR_SLOPE,594
FFD_VOLUME_D10_STD50,346
REGIME_AC1_100,339
RSQR50,266
MA_CROSS_20_50,265
CORR10,248
RSQR5,246
VSTD50,243
CORD50,226
VPIN_MA100,226
CORD10,221
KUP2,204
VMA20,202
VSTD10,199
STD50,198
RESI10,198
FFD_VOLUME_D10_SLOPE20,195
VMA10,189
FFD_CLOSE_D20_STD5,176
FFD_CLOSE_D20_SLOPE50,175
FFD_VOLUME_D10_STD10,174
KMID2,172
VMA5,171
VSUMP10,166
WVMA50,164
FFD_VOLUME_D10_SLOPE10,155
AMIHUD_MA20,151
KMID,148
RSQR20,143
MAX5,141
IMXD20,136
RSQR30,136
VSUMN5,134
KYLE_LAMBDA,134
REGIME_AC1_50,130
SUMP5,126
FFD_CLOSE_D20_STD50,124
KLOW2,123
CORR50,121
SUMP10,118
RSV50,115
MACD_SLOPE,110
VMA50,109
FFD_VOLUME_D10_MA50,103
SUMP20,103
KSFT,102
RSQR10,102
IMIN50,102
CORWIN_SCHULTZ_SPREAD,101
KSFT2,98
CORD30,97
MACD_SIGNAL,96
ROLL_MEASURE,95
FFD_CLOSE_D20_STD20,93
AMIHUD_LAMBDA,93
VPIN_STD100,92
RSI_CENTERED,91
RESI20,86
MIN30,86
RESI5,85
FFD_CLOSE_D20_SLOPE5,85
AMIHUD_MA50,81
SUMN5,81
MAX20,77
RESI30,76
STD20,73
FFD_CLOSE_D20_STD10,73
BB_DIST_UPPER,72
VSUMD5,71
IMXD30,70
SUMD50,70
RSV5,69
IMXD5,68
FFD_VOLUME_D10_STD30,68
MIN20,67
MA_CROSS_10_20,67
KYLE_MA20,67
MACD_LINE,67
STD10,66
FFD_VOLUME_D10_STD20,65
RSV30,65
REGIME_VOL_50,65
MA5,64
QTLD5,64
QTLD50,63
QTLD10,62
MIN5,62
QTLU30,59
CNTD10,58
MA_DIST_50,58
FFD_CLOSE_D20_MA30,58
IMIN20,57
MAX30,56
VSUMD30,55
IMAX10,55
FFD_CLOSE_D20_MA10,51
MAX10,50
SUMN30,50
IMAX30,49
SUMN50,49
VSUMN20,46
FFD_CLOSE_D20_MA50,46
ROC50,46
SUMD30,45
CNTP10,45
SUMP50,45
SUMD10,45
SUMD5,45
IMAX5,44
ROC5,44
FFD_VOLUME_D10,44
SUMN10,43
FFD_VOLUME_D10_MA5,42
FFD_CLOSE_D20_SLOPE10,41
RSV10,40
VSUMD50,40
RSI,40
IMIN10,40
QTLD30,39
MAX50,39
FFD_CLOSE_D20,38
BB_DIST_LOWER,38
FFD_CLOSE_D20_STD30,37
QTLU5,37
CNTN20,36
CNTN10,35
RESI50,35
SUMD20,33
FFD_VOLUME_D10_MA20,33
MA20,33
MA50,32
VSUMP20,31
MA_DIST_20,31
IMAX20,30
IMIN30,29
BETA5,28
CNTP50,28
CNTP20,27
MIN10,27
FFD_VOLUME_D10_MA30,27
BB_PERCENT_B,27
MA30,24
ROC10,24
MA_DIST_10,23
FFD_CLOSE_D20_MA5,23
QTLU20,23
CNTD30,21
QTLD20,21
RSV20,18
MA10,17
MA_SLOPE_20,17
CNTN30,17
ROC20,16
IMIN5,16
MA_SLOPE_10,11
QTLU10,10
VSUMD20,10
SUMP30,10
VSUMP50,7
CNTP5,2
CNTN5,2
CNTD5,1
RSI_EXTREME_LOWER,1
