Feature,Importance
KMID,0.1308210678744201
KMID2,0.12233442583359065
KSFT2,0.09531270461294936
KSFT,0.08284585032034851
RESI10,0.02354971978907245
RESI5,0.020393519994024462
QTLD5,0.015020256902876963
QTLU5,0.014550421563749085
RSV5,0.013575794298841252
MIN5,0.011589910252091332
WVMA20,0.010289423844750465
BETA20,0.010184319011204142
RSQR30,0.010128444527748907
WVMA10,0.010098335274126872
KLEN,0.009345539820311628
FFD_VOLUME_D0_SLOPE5,0.0082831159133148
MA5,0.008153517846182136
FFD_VOLUME_D0_MA10,0.008113319397879426
KUP,0.008075298414490768
FFD_VOLUME_D0_STD20,0.008012124932640318
FFD_VOLUME_D0_SLOPE30,0.00788484815288531
VMA20,0.007835238583521233
CORR5,0.007819155652940368
CORD20,0.007530208733885355
VSUMP30,0.007510895253822769
VMA5,0.007480010838566947
RSQR20,0.007473912271043963
MAX5,0.0073971641104559685
VMA30,0.007299210217994068
KLOW,0.007290094886632022
VSUMP20,0.00726128304429617
VMA10,0.0070315520518797366
WVMA30,0.006940685771081438
CORR30,0.0063121950684018775
CORD5,0.006075164106520788
VMA50,0.006051152930786926
CORR10,0.005936814900281254
CORR20,0.005890575985993368
CORR50,0.005673028864330558
BETA5,0.005359672192799579
STD10,0.005259651720457135
VSUMD10,0.005195230160983878
CORD30,0.005188464986763485
QTLU10,0.00503310862716749
VSUMN30,0.004862029462692763
QTLD10,0.004840284295448228
MIN10,0.004489001303509948
RESI20,0.004482111026219272
VSUMP50,0.004438051646972653
SUMD10,0.0043009685720058
FFD_VOLUME_D0_SLOPE50,0.004265112860179005
FFD_VOLUME_D0_MA20,0.004258548311739895
FFD_VOLUME_D0,0.004242939448593443
RSV10,0.004175177899193125
RSV50,0.004173064636260616
RSV20,0.004137080379460369
RSV30,0.004041092240328593
VSTD50,0.004016693290711091
RESI50,0.003955094135288418
MAX10,0.003933078828990919
SUMN10,0.00389541161264041
FFD_VOLUME_D0_MA5,0.0038206348997340722
QTLU20,0.003817893855629725
STD50,0.0037499146596296387
BETA10,0.0037246027187608113
SUMD50,0.003671672587721291
STD30,0.0036384149812619805
MAX20,0.003619239147316679
FFD_VOLUME_D0_STD50,0.0035956693473635252
ROC10,0.0035374756147398727
MAX30,0.003488820037775892
MAX50,0.003432525212879451
SUMP5,0.003345399275906006
RESI30,0.0032874452502560177
MIN50,0.00325807480046576
SUMD5,0.003232349457529143
SUMD30,0.0032080523878831764
VSUMN5,0.0031799646875765
VSUMD5,0.003161126476315788
FFD_VOLUME_D0_MA30,0.003138972935569204
SUMD20,0.0030992632133061064
SUMN5,0.0030862345687772256
ROC5,0.0030376951734626696
IMXD30,0.0029730926927481055
ROC20,0.002883993580032227
QTLU30,0.002874808954997237
SUMP20,0.002843360270458677
FFD_CLOSE_D20,0.002653629056107409
ROC50,0.0026529966473135195
SUMP30,0.0026191514712820994
MA10,0.0026176966424857778
BETA30,0.0026168437348975493
FFD_CLOSE_D20_MA20,0.002549290061899466
MA50,0.002526807507575698
FFD_CLOSE_D20_STD30,0.0024835696085009715
IMXD20,0.002463983589335983
FFD_CLOSE_D20_MA5,0.0022951869052776994
FFD_CLOSE_D20_SLOPE5,0.0022662115445616464
MA30,0.0022627928806159274
SUMP50,0.0022332044969346717
IMXD50,0.0021790002316926633
QTLD50,0.002151809959902941
QTLD30,0.0020382834780370233
IMIN50,0.0018822269664072752
IMXD10,0.0015265729638920017
IMAX50,0.00145341251345982
IMIN10,0.0013293311007990857
IMIN20,0.0013290117729888786
CNTN50,0.001309050729108242
CNTN30,0.00121756636429345
FFD_CLOSE_D20_STD20,0.0011369569116512928
IMAX10,0.0011221998262615498
CNTD10,0.0010268031919607081
IMIN5,0.0010265584919167407
CNTD30,0.0010213905712938619
IMXD5,0.0010055972130620103
FFD_CLOSE_D20_STD5,0.0009935745647580982
CNTP10,0.0009820774900120106
IMAX5,0.0009547017697059181
CNTP30,0.0009328346843846366
CNTD20,0.0007997368253411865
CNTP20,0.0007679866031427467
CNTD5,0.0004874416990384839
CNTN5,0.00046564365366447364
