,mean,std
KSFT,0.03314594402235743,0.09283233303128076
KMID2,0.02757436686928575,0.09035964796059166
KSFT2,0.02618587715049965,0.08332008828869285
RESI5,0.01914785631580841,0.05972524707766288
MAX5,0.01438372563567495,0.045638439054411305
IMIN5,0.013938730689466024,0.04401513793139289
RESI10,0.013738282547888427,0.04221698360517404
RSV5,0.013684409352363553,0.04280580669103836
MIN5,0.012627731070221975,0.044799045002587794
KMID,0.012481824166862745,0.05002891446652015
MA5,0.012084569268119467,0.03511113298306918
QTLU5,0.011185609969213696,0.04211675241185139
QTLD5,0.010258364348239154,0.029089971281796245
QTLD10,0.009604307280338455,0.032612379327261624
SUMP5,0.009420259193207192,0.027820694141581413
ROC50,0.00888645485971496,0.01897563457240451
QTLD20,0.008856476983028992,0.021343724767694933
SUMD10,0.008776449700839531,0.018625113194755714
CORR10,0.008341747577401372,0.01771788555139835
ROC5,0.007672358922829303,0.024816066226484745
MA50,0.007642534054015624,0.019203145677395443
MIN20,0.007638932000772275,0.022942699556668028
SUMP10,0.007405801783259284,0.020577323641450432
RESI20,0.007055772782713866,0.019679767886621572
QTLU20,0.007045804810487107,0.018557521254492802
MIN50,0.0069872470398654385,0.020174420889624848
IMAX5,0.006823788716996479,0.01861771088815473
SUMD5,0.006787305035560639,0.019423860118778506
STD30,0.006783747458170025,0.012919969238950318
VMA10,0.006755288420526702,0.01473590064283639
MIN10,0.006638039089898621,0.02309788642035146
MIN30,0.006562253611474037,0.025991326666812947
KUP,0.006536952191906646,0.013076237126426117
ROC20,0.0064035298704260505,0.014921713842019966
KUP2,0.006358671634941046,0.013801982618894804
VSTD50,0.006202150509089946,0.011263348467404321
WVMA10,0.006198386202989177,0.012546740528920542
BETA10,0.006172129442984616,0.015717622709788454
CORR50,0.006156792533189315,0.0129918283497608
SUMP20,0.006107637471095375,0.011840708949025964
IMAX10,0.006100347641149157,0.015490407748208734
CORR30,0.006091839146885449,0.012060982827335148
WVMA5,0.0060850049316164044,0.01409872165481229
RESI50,0.005989843401904176,0.014497555984336684
CORD10,0.005963628815715299,0.011800603654893644
QTLU50,0.005895596933427311,0.013408850399847126
SUMP50,0.005820655581359714,0.01170242692067723
FFD_VOLUME_D0_MA10,0.0058144939486851855,0.014653880982210755
RSV30,0.005814019773706451,0.013806138616074042
CORD50,0.0057602733385563355,0.013489719474142752
SUMN5,0.005756438958681601,0.01872167026230009
CORD30,0.0057271364425273375,0.01187221521414597
VSUMN50,0.005664691692651891,0.010586283326221755
MAX20,0.005637054824990209,0.016470195781287427
MAX30,0.005593518531099106,0.017731152235597326
CORR5,0.005587232108705438,0.011285454102000124
SUMP30,0.005545479284081557,0.011814307179981382
QTLD50,0.005509821856453917,0.009953890555274516
FFD_VOLUME_D0_MA5,0.005499755509851681,0.011808656379344688
ROC10,0.005494689842550201,0.013510124613117798
WVMA30,0.005449234059782538,0.01250982145068205
CORD20,0.005430395876317269,0.011747403045491616
FFD_VOLUME_D0_STD5,0.005339876209655528,0.011082623821051229
VMA30,0.005261871432541566,0.011911803141195066
RSV10,0.005240861996845651,0.013469085022186862
VSTD20,0.005226811461561851,0.009851686609515563
ROC30,0.005181919828996885,0.015094953289739475
BETA50,0.005180590488356892,0.012350833849697034
SUMN50,0.005166515147907672,0.010624992102540235
CORR20,0.0051236345362041455,0.010125612470915117
FFD_VOLUME_D0_SLOPE5,0.0050948720195529975,0.011818927654268124
VSUMD20,0.005085410268619528,0.011479400403057907
BETA30,0.005039571218072552,0.011491215701892134
FFD_VOLUME_D0_MA50,0.005002112463359387,0.009213737137336971
WVMA50,0.0049919613275145915,0.012406484174822425
IMIN20,0.004930809824316579,0.018707625139827124
IMIN10,0.0049198208686360625,0.012553121736698368
SUMN10,0.004910861028977163,0.010133835409360938
STD5,0.004904137391126245,0.009718896179769424
FFD_VOLUME_D0_SLOPE20,0.004903571096314555,0.012337813187624192
KLOW,0.004864235321284371,0.010485315534091688
STD50,0.004857589254900234,0.011091089801024847
VSUMP30,0.004856333584110329,0.011562556395573721
RESI30,0.00484837574292758,0.012355735335048615
VSUMN20,0.004837638851808322,0.010671119346774342
RSV20,0.004768566559938455,0.01778342773650778
VSUMP50,0.004764799236255632,0.010795754137422182
RSV50,0.0047276770935647736,0.013275454535524943
QTLU30,0.004720172325794064,0.01532512354380112
VSTD5,0.004715817455790521,0.00981563214246096
FFD_VOLUME_D0_STD50,0.004700268826842601,0.010211631404519948
MA10,0.004632518726826303,0.011132607522251153
SUMN30,0.004620950918318102,0.011195592046164575
VSUMN30,0.0046203227206454,0.009271665766419725
QTLU10,0.004607603137502327,0.011358796028276207
IMAX50,0.004576574301174117,0.009690354187111299
SUMD50,0.004522252761090105,0.009926133112204413
VSTD30,0.004520587266137542,0.009614104071456747
RSQR5,0.004516187974071776,0.011372180247744747
FFD_VOLUME_D0,0.004505360084472243,0.011145946409834469
FFD_VOLUME_D0_STD30,0.004504113619712449,0.009102348696221414
KLEN,0.00448595361235014,0.011283849823421154
MA20,0.004470762093881777,0.01220914190948128
QTLD30,0.004454987727189014,0.010066769334901016
VSUMP5,0.004442014736104766,0.010224875015843349
CNTN50,0.004437084226667873,0.008657698761183885
FFD_VOLUME_D0_SLOPE50,0.004436581277155638,0.01025940940043026
VMA20,0.004431219062928771,0.012449194832979665
MAX50,0.004411238993962269,0.011283937522465702
CNTP50,0.004281515475830627,0.010018393496071958
IMXD30,0.004279621925515974,0.008958926196806492
VMA50,0.0042413387584821875,0.008993977117012176
CNTP30,0.004240974408118866,0.01050940436366214
FFD_VOLUME_D0_MA20,0.004235615322105407,0.009434948947508981
VMA5,0.004195551150161149,0.008569986396964295
IMXD20,0.004187500634781517,0.009752192870664648
MAX10,0.004183372565059839,0.011869264767564237
RSQR50,0.004159701509422699,0.01078018900646817
CNTD10,0.004157489070964672,0.01764306555736979
FFD_VOLUME_D0_SLOPE10,0.004145476290379377,0.008685224406544515
VSUMD5,0.004132802673665145,0.00931541793411
STD10,0.004106996758930537,0.011905754848977615
FFD_VOLUME_D0_MA30,0.004105355731423009,0.009271995605032534
CNTD20,0.004031601640806489,0.01088716665163314
VSUMP20,0.004005724843233806,0.00806596051790296
SUMD20,0.003989711419325598,0.008968113974030398
VSUMP10,0.00397058461778284,0.010793653412352354
CORD5,0.003949276007416195,0.011265725522291352
CNTD30,0.003937384081314225,0.009754622232183747
IMIN30,0.003918260711361047,0.009437370775631795
IMAX20,0.003917939182653988,0.008442276220375609
RSQR10,0.0039036733615516023,0.00991891216539576
RSQR30,0.0038643591408500954,0.008173899316358178
SUMN20,0.0038222282223550736,0.007342090962553615
FFD_VOLUME_D0_STD20,0.0037847537039417778,0.007897092269072828
FFD_VOLUME_D0_STD10,0.003761389064185102,0.008256479113945524
IMXD5,0.0036939419465750393,0.013175564917194542
VSTD10,0.0036769964026191673,0.00869872954264252
VSUMD10,0.0036536223535585366,0.00819204397512634
RSQR20,0.003648548896844441,0.008570958824637976
IMIN50,0.0036452644037471395,0.008643210856168853
VSUMD50,0.0036031462534573317,0.008887519513195075
FFD_VOLUME_D0_SLOPE30,0.0035418312219338555,0.009662365828629489
CNTN5,0.0035266826034866983,0.011011138957957727
CNTP20,0.0034985451712852144,0.00861510579329384
SUMD30,0.003469797647727473,0.0094827038416652
IMXD50,0.00346487158303742,0.008854511665695208
STD20,0.0034171475806203284,0.009261598950421265
CNTP5,0.0034017773045917432,0.01383466923436093
BETA20,0.003313289052287163,0.00832745019022905
IMXD10,0.003276840568590204,0.009017268644636622
FFD_CLOSE_D20_SLOPE20,0.003251986415464237,0.01017373274662237
CNTN30,0.0031572086110483433,0.010763956516267596
BETA5,0.0031495087564043338,0.007399944991725131
WVMA20,0.0031081258401055543,0.007429767470073463
MA30,0.002991192084897809,0.006730656110790592
VSUMD30,0.002983991981843423,0.008869427783093613
VSUMN5,0.0029206089139434126,0.007224178273344794
VSUMN10,0.0029148997206302845,0.006631488393373358
KLOW2,0.0029048048146155902,0.00833368685170209
FFD_CLOSE_D20_SLOPE30,0.0027460863313954298,0.006822155969727075
FFD_CLOSE_D20_MA10,0.0027107078029849807,0.007760840212797768
CNTD50,0.0026481973486409964,0.006257992401455692
IMAX30,0.0025167989145894755,0.005850042357878289
FFD_CLOSE_D20,0.00247218940618128,0.009457102330379436
FFD_CLOSE_D20_STD30,0.0022895023027638176,0.0071050051866208205
FFD_CLOSE_D20_STD5,0.0022520137392658536,0.009196926172617777
FFD_CLOSE_D20_MA20,0.002147507390322991,0.0058521061211206545
FFD_CLOSE_D20_STD50,0.0020862181298725614,0.0071320586118909
FFD_CLOSE_D20_SLOPE5,0.0020444893824531304,0.00881345620738475
FFD_CLOSE_D20_MA5,0.002019970511061769,0.006414090944948112
FFD_CLOSE_D20_MA30,0.0020005865233733563,0.005687460373912278
FFD_CLOSE_D20_STD20,0.0019746238936612474,0.005902794582950373
CNTN20,0.0019344567859319454,0.004756006581246508
CNTN10,0.001884457913953522,0.0070479577724043814
FFD_CLOSE_D20_SLOPE50,0.0016772477855249636,0.006848643867879176
FFD_CLOSE_D20_STD10,0.0016415282940209202,0.004120487137468378
CNTD5,0.0015913865582985482,0.004793576506658753
FFD_CLOSE_D20_SLOPE10,0.001420034621685635,0.004746313782030804
FFD_CLOSE_D20_MA50,0.0012652532995456474,0.003883044033261797
CNTP10,0.0010996554771494896,0.0032772490870905738
