,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Mean_Importance,Std_Importance
KMID,0.09447390627536305,0.09817778026825055,0.09575015079795789,0.08649849382203557,0.09883289563101881,0.09474664535892517,0.004417771872823254
KSFT2,0.08797092112670346,0.08561897236663973,0.0874637193128097,0.08296103356282726,0.08039246810197903,0.08488142289419184,0.0028494155069823173
KMID2,0.0857404838580663,0.07423636053568856,0.09111065230964126,0.08094247159864748,0.0906339794531218,0.08453278955103308,0.0063381094294580435
KSFT,0.07897985914334409,0.08139211962230468,0.08727936392998165,0.07718492316767349,0.0837793905905499,0.08172313129077076,0.0035589427423608337
RESI5,0.034862081647341114,0.03203266707933187,0.03559454323784593,0.03524216079823388,0.038987706140438345,0.03534383178063823,0.002215712456234157
RESI10,0.03414461134786895,0.03144398506360764,0.034755593658390004,0.027595671510032324,0.03150765783602946,0.03188950388318567,0.0025330325757031936
RSV5,0.02978702782916126,0.029228928775774703,0.02940042056455449,0.02887535252697963,0.02730342691522222,0.028919031322338463,0.0008594504531945509
QTLD5,0.027000028753617834,0.027402095346308598,0.02581710196577105,0.02643557513729099,0.024717202164815363,0.026274400673560766,0.0009442666887119255
QTLU5,0.029972117129143914,0.02273345544645519,0.02077930804169964,0.018979674450609343,0.02308070966831055,0.023109052947243726,0.0037342470427735664
MIN5,0.018002584552564843,0.022415962913363577,0.02568721619272562,0.023047952428878263,0.024000786679335234,0.022630900553373506,0.0025635558408096874
MA5,0.019092435356814867,0.017546900318754995,0.017988739710998396,0.018190917552015216,0.018082571635640775,0.01818031291484485,0.0005058744853128287
MAX5,0.024692007318397168,0.01669769632536974,0.014976062102619389,0.01797102295685968,0.014571953788233696,0.017781748498295936,0.00366435066899186
RSV10,0.014200685465695008,0.014462683994644556,0.01456691639129353,0.0165225502564663,0.014416499779565859,0.01483386717753305,0.0008527373386571821
MAX10,0.012532625615145393,0.01054774133866565,0.010921755628868162,0.012227521547306566,0.011638088797362433,0.01157354658546964,0.0007521687827166813
RESI20,0.008264996370696309,0.008171721227439841,0.008721082565226267,0.010577818549944268,0.01051151976079148,0.009249427694819633,0.001073983564555837
QTLD10,0.0072466587718602316,0.009142169132145942,0.00998055436977343,0.011274805156581531,0.008600664756017834,0.009248970437275792,0.001347603809791386
RSV20,0.007568628205621012,0.009468330827156955,0.008749816379336174,0.008368180623113439,0.007983444873183374,0.00842768018168219,0.0006520093557806575
MIN10,0.006022713805790307,0.009746097790588411,0.008720098860917316,0.008246446181415148,0.008825113382321736,0.008312094004206582,0.0012435107586439634
QTLU10,0.008236133420637583,0.007473080289949612,0.006901643776363055,0.008468467092635889,0.008280439721747712,0.00787195286026677,0.0005926073357006226
