,mean,std
KSFT,0.009169185165432591,0.0033637611633400995
KSFT2,0.006945793589810267,0.0018859926106980732
KMID2,0.006175102332469073,0.0022819813586683678
KMID,0.005745803415946904,0.0023494795669932026
RESI5,0.004178501379815814,0.0024791892096177218
MAX5,0.0038360975654137654,0.00297450440160284
RESI10,0.0036073179840694137,0.0014638443934627502
MIN5,0.0030930935917540927,0.0009178137702725339
IMIN5,0.002363497656380109,0.002314254607779752
RSV5,0.0023332220016726523,0.001606805092607695
QTLU5,0.0020163576613946967,0.0016978771120538228
IMAX5,0.0016032307057063822,0.000963057211490908
MA5,0.0015766521393024923,0.0008982120884165807
MAX10,0.0014193875830836645,0.0007824619742959953
BETA10,0.0013650029163824184,0.0013337767418228597
SUMP5,0.001287275525186149,0.0010123685618810868
RSV30,0.0012363882599751852,0.0011432360582832749
QTLD5,0.0011641565863083959,0.0015602810352451407
RESI50,0.0011271790080672694,0.001482604565606339
SUMD10,0.00111968264985991,0.001636877322531166
IMIN20,0.0011022678329450474,0.001424492765982846
IMIN10,0.0010974342104764778,0.0011039613767151678
BETA20,0.0010816064591781416,0.0006524727500548044
CORR10,0.0010419538829384179,0.0008190613545076849
MA10,0.0010161788883971345,0.0005934408417020259
QTLU20,0.0009946249280344155,0.0011203528695864484
RESI20,0.000987393767262823,0.0009715136336327574
CNTP30,0.0009333196959385726,0.0006303996110951977
ROC10,0.0008863523695515241,0.0010802806818752276
IMXD20,0.000878453237220711,0.0005334270491494063
CNTN5,0.0008738767381454293,0.000895796789183032
FFD_VOLUME_D0_MA5,0.00085687589246779,0.001150104203409294
QTLD10,0.0008462076655920026,0.0011606244406447705
IMIN50,0.0008449801365703724,0.0009211897885683827
RESI30,0.0008441112596395461,0.0009131977931242883
ROC5,0.000843059861372919,0.0014083040399839098
MAX30,0.0008154349476324097,0.0015668819006859672
CNTD5,0.0007810536823467995,0.0008632232622871345
MAX50,0.000737794283514237,0.0009939222102243739
BETA30,0.0007222541464338983,0.0005432799052071461
WVMA20,0.000683141883730709,0.0010097679997586213
VSTD50,0.0006702537804664788,0.001759884668838267
CORR30,0.0006409579790400466,0.0006351126963878506
FFD_VOLUME_D0_MA20,0.0006399529778622348,0.0005209885541307195
STD50,0.0006232375635266019,0.0006932643552961529
FFD_VOLUME_D0_MA30,0.0006041787013100208,0.0011099080990169018
RSV10,0.0005942394528308581,0.0003699784258100374
MAX20,0.0005902533655630871,0.0011693412866545416
RSV20,0.0005732711600022755,0.0009510513541192504
MIN10,0.0005625918917099515,0.0009770528630935046
FFD_CLOSE_D20_SLOPE5,0.0005614017746053745,0.0008882732034388548
FFD_VOLUME_D0_MA10,0.0005538215878827524,0.0010463748614248725
VSUMP50,0.0005527546315014842,0.0006566456667689134
CNTP10,0.0005243119448739009,0.0004119853337475131
CORD20,0.0005021287641353567,0.001155088819742209
QTLU10,0.00048223924930363983,0.0008048087156778429
RSQR30,0.00048170622091143757,0.0011595912904939641
IMAX50,0.00046949074679356604,0.001503261405850226
FFD_VOLUME_D0_SLOPE5,0.0004684666937778248,0.0006811880103601428
ROC20,0.0004530354596315123,0.0006931503066537802
SUMD30,0.000445920858411486,0.0006668610190067551
SUMD5,0.00044021040258928056,0.0009553738501924706
KUP,0.0004296757127454365,0.0013174204712600912
VMA30,0.00042849459230804855,0.0006934468810269298
SUMD50,0.0004263887070652617,0.0007020909741765907
CNTN50,0.000413717560776905,0.00020512558755961786
IMXD30,0.0003942700992038306,0.0004881743182399834
QTLD30,0.00038510366178676756,0.0010151692331949584
IMXD50,0.00037596425198125336,0.0006581276296362823
SUMD20,0.0003746876989128678,0.0004427590673504213
CORR20,0.00035849886798944297,0.0007725123183207952
STD10,0.0003579875054368298,0.000892719700268282
QTLU30,0.0003486710462581977,0.001086935949228167
CORD30,0.000325104884074956,0.0005842820420976607
FFD_CLOSE_D20_MA5,0.00031829039718291876,0.0005440698800358381
VSUMN5,0.0003110419124135122,0.0010789268315885474
CNTD10,0.00029899023653681136,0.00130111382263435
FFD_VOLUME_D0,0.00028950019902234113,0.0006749422622131449
CNTD30,0.00028825771950915515,0.0011497099756551167
IMAX10,0.0002860998549826466,0.0009457404893281706
SUMN5,0.00028338648270231914,0.0008798935340962361
KLEN,0.00027722841954591626,0.0006118309343100562
FFD_VOLUME_D0_STD50,0.0002744500055702481,0.0016349955094383212
MIN50,0.0002630201923145226,0.0015318900563061194
IMXD5,0.0002586407540141833,0.0007058993156901106
VSUMD5,0.0002574305586958925,0.0006310260370401483
SUMP20,0.00025452896775335354,0.001083183360584228
FFD_VOLUME_D0_SLOPE30,0.0002431099279015525,0.00032765718989363014
SUMN10,0.00022750747210864564,0.0007687859302344948
MA50,0.000223570658216099,0.0007025076371015307
BETA5,0.00019390964484202743,0.0007007474108781581
VMA10,0.00018943842334706584,0.0012937130409716381
VMA50,0.00018684275622962154,0.0011114995068800212
MA30,0.00018625282657329655,0.0005254732281981838
RSV50,0.00018605308634092043,0.0013666293166983345
FFD_CLOSE_D20_MA20,0.00015450317409737568,0.0009721322948293144
CNTP20,0.00015372923225205338,0.001688914788809992
STD30,0.00013153350754409044,0.000366660390831958
VSUMD10,0.00012300386498902415,0.0005616308157425334
FFD_VOLUME_D0_STD20,0.00012145160127123855,0.0011923198804640056
WVMA30,0.00011740384466059073,0.0009544062541015799
ROC50,0.00011664066901291292,0.0007706135080143232
KLOW,0.00011332711172080678,0.000960584147951246
CNTN30,0.00010809032811354147,0.0006245284359977285
VSUMN30,0.0001032132563938859,0.0015165847814105691
CORR5,0.00010104370659749228,0.0012258504332194038
RSQR20,9.476738897948867e-05,0.00024466617112779774
SUMP50,8.218919306683947e-05,0.0009734316974183405
CNTD20,5.76287671871567e-05,0.0007082990799273606
VSUMP30,5.201191533192873e-05,0.0009645628514619503
VMA5,5.160961583645651e-05,0.0007750319005989236
VMA20,4.6046619831741074e-05,0.0010005193623063419
CORD5,4.589124853620064e-05,0.0010358077026409286
VSUMP20,3.993993062936241e-05,0.0010900273777745206
FFD_CLOSE_D20_STD5,3.615198970674527e-05,0.00020928191594225682
FFD_VOLUME_D0_SLOPE50,2.958903523884171e-05,0.0010391089752587008
FFD_CLOSE_D20_STD30,2.6537726399511465e-05,0.00010391062404931244
SUMP30,2.1898710606094163e-05,0.0011294426596935856
IMXD10,1.9933476240652227e-05,0.0006829972861881234
QTLD50,1.1799450472116391e-05,0.0007318753169093885
WVMA10,8.315785575629952e-06,0.0009714841843725999
FFD_CLOSE_D20_STD20,6.435390621528647e-06,1.3735412955845627e-05
CORR50,1.313267517755179e-06,0.0008931242734144497
FFD_CLOSE_D20,1.6177384467574996e-07,0.0002275428542901907
CNTP50,-9.101656623156096e-06,0.00033736227423195183
MIN20,-2.260599129750851e-05,0.0007211044165056932
VSUMP5,-3.2275717437002525e-05,0.0010336384470857499
FFD_CLOSE_D20_MA50,-4.031672989641688e-05,7.659097943906299e-05
FFD_VOLUME_D0_SLOPE10,-5.5569256845466874e-05,0.0006921543455384507
VSUMD30,-6.499411712665993e-05,0.0004077341487933608
CORD10,-7.082990768634279e-05,0.0005233586554648674
FFD_CLOSE_D20_STD50,-7.371027813332098e-05,0.0001159953045205545
SUMN30,-7.45968592219981e-05,0.0009095515370417888
SUMP10,-7.546317950863912e-05,0.0009331485895571991
RSQR5,-7.7933495620508e-05,0.00040555834929398255
QTLD20,-8.108324404316747e-05,0.0012214256456038082
VSUMD20,-8.600450145672678e-05,0.0006582867165928057
KUP2,-0.00010119167210937974,0.000841718403239175
MIN30,-0.00010654792664750445,0.0008147237500664769
FFD_CLOSE_D20_SLOPE10,-0.00010810148790305619,0.0003313011481523465
VSUMN50,-0.00011574843971910998,0.0010321023925855865
FFD_CLOSE_D20_MA10,-0.00012317737940303886,0.00035480837759547
IMAX20,-0.00013243362495196642,0.001795845017430819
FFD_VOLUME_D0_SLOPE20,-0.00014214342264611267,0.0008851905102149817
CNTP5,-0.00016293996181457882,0.0010520456936242114
FFD_CLOSE_D20_SLOPE50,-0.00017033010013427495,0.00022333374279020032
STD20,-0.00018319007471514492,0.0008730867087118259
FFD_VOLUME_D0_STD5,-0.000187170265904113,0.0011376725178283305
VSUMN10,-0.00019439013214921362,0.0016011935816756535
CNTN10,-0.00020365504454864514,0.0004363025872587292
CORD50,-0.0002196907785940949,0.0007928182600495881
IMAX30,-0.00024297138554238984,0.0008086446781920037
FFD_CLOSE_D20_MA30,-0.0002488698324412342,0.00040476913158397454
VSUMD50,-0.00026576767490946727,0.001412610750797667
WVMA50,-0.00029626450622330933,0.00044425443847334383
FFD_CLOSE_D20_SLOPE30,-0.0003095015226742159,0.0003813516227144106
KLOW2,-0.00032385455550409947,0.00148269787375825
VSUMP10,-0.0003425805229383183,0.00019269304788762712
VSTD5,-0.00034481159747272726,0.000872300266027506
FFD_CLOSE_D20_SLOPE20,-0.00036637821879081933,0.0006464030871102977
BETA50,-0.0003671595808951933,0.0008310650315178605
