timestamp,open,high,low,close,volume,vwap,trades,median_trade_size
2023-01-01 08:54:00.634,16519.69921875,16545.69921875,16488.0,16502.0,17623.746,16516.030502624417,40204,0.029999999329447746
2023-01-01 13:00:18.412,16502.099609375,16565.900390625,16496.80078125,16554.099609375,17600.098,16537.62745903298,47876,0.035999998450279236
2023-01-01 17:00:02.830,16554.19921875,16579.0,16524.599609375,16557.900390625,17594.678,16550.51653909098,46372,0.029999999329447746
2023-01-01 19:50:41.798,16558.0,16615.80078125,16555.5,16600.30078125,17543.943,16589.371563500805,42709,0.04100000113248825
2023-01-02 01:08:17.482,16600.30078125,16618.80078125,16544.400390625,16546.099609375,27267.348,16592.33714272004,72671,0.03999999910593033
2023-01-02 04:00:26.012,16546.400390625,16700.69921875,16541.19921875,16662.80078125,27222.4,16621.70509495,52973,0.05700000002980232
2023-01-02 07:15:47.259,16662.80078125,16750.0,16612.80078125,16748.900390625,27175.664,16653.23873414468,54638,0.050999999046325684
2023-01-02 08:02:31.130,16749.099609375,16767.80078125,16703.0,16704.69921875,27057.28,16726.27883583368,50551,0.06199999898672104
2023-01-02 10:30:24.226,16704.69921875,16764.0,16701.0,16725.900390625,27042.184,16729.49168318705,59290,0.04899999871850014
2023-01-02 14:28:16.940,16726.0,16736.099609375,16674.30078125,16683.599609375,27098.188,16708.24013759381,77464,0.05000000074505806
2023-01-02 17:24:48.982,16683.69921875,16744.80078125,16665.0,16704.0,27111.62,16710.304977791307,60519,0.03400000184774399
2023-01-02 22:32:02.990,16704.0,16799.0,16685.19921875,16686.599609375,26994.275,16732.657778521567,63351,0.032999999821186066
2023-01-03 01:36:41.158,16686.5,16717.400390625,16639.5,16665.099609375,29604.475,16680.519816913784,60712,0.05000000074505806
2023-01-03 06:43:27.668,16665.099609375,16774.0,16654.900390625,16729.80078125,29530.99,16710.90297739287,67422,0.0430000014603138
2023-01-03 11:48:19.106,16729.900390625,16750.5,16691.69921875,16715.5,29529.621,16720.383264963046,69164,0.04299999959766865
2023-01-03 14:52:15.171,16715.400390625,16764.900390625,16695.69921875,16710.099609375,29509.697,16728.456358685748,61685,0.050999999046325684
2023-01-03 15:19:10.308,16710.0,16711.599609375,16615.0,16640.30078125,29622.363,16661.53911781557,45518,0.0820000022649765
2023-01-03 16:59:05.234,16640.30078125,16680.099609375,16606.0,16611.80078125,29670.262,16639.8152814631,62612,0.05299999937415123
2023-01-03 21:35:53.293,16611.80078125,16665.80078125,16600.30078125,16664.69921875,29671.746,16635.032505452054,76356,0.03200000151991844
