,0
volume,0.5325451763727994
vol_atr_14,0.5323768213493333
trades,0.5314629013565922
log_dist_ema_long,0.5300970425521702
rsi_14,0.5255919834608028
mom_roc_10,0.5191464193919068
vol_rel_20,0.5189974555799145
vol_bb_pct_b_20,0.5186545112661085
log_dist_ema_short,0.5170585654364453
mom_stoch_k_14,0.5156578440906895
ffd_log_price,0.5022626692497698
log_return,0.5020565299800804
ema_long,0.500630563029156
ema_short,0.5004342406461987
liq_amihud,0.5
vol_parkinson,0.5
vol_ewm_10,0.5
vol_ewm_100,0.5
vol_ewm_50,0.5
low,0.49993460241390003
vwap,0.49979985353129947
close,0.49970254668936603
open,0.4995900623932316
high,0.4993909681471753
ema_diff,0.4987750803188084
corr_pv_10,0.496705929892046
median_trade_size,0.48620882608771465
trend_variance_ratio_20,0.4722411999451584
