combo_id,wf_median_sharpe,wf_mean_sharpe,wf_total_pnl,wf_worst_dd,wf_trade_count,cost_worst_sharpe,cost_worst_pnl,cost_worst_dd,final_rank
rate=0.1_fast=5_slow=20,0.8645534629909278,0.8180799016383694,1473816.5884155252,-0.10062635981209234,268,0.5816146507275473,629493.2675608823,-0.10467648878589064,1
rate=0.15_fast=5_slow=20,0.6542592794699142,0.6940095606158144,1231816.639472099,-0.08372702509730379,340,0.4960538669960535,513882.78487561014,-0.08815942737081084,2
rate=0.05_fast=5_slow=20,0.5899720394844212,0.5873154643678761,1010467.9372899234,-0.0806558954472606,164,0.4455019578794037,447866.36311038653,-0.08186371657565505,3
