scheme,n_features,cv_fold_f1_mean,cv_fold_f1_std,cv_precision,cv_recall,cv_f1,holdout_precision,holdout_recall,holdout_f1,holdout_accuracy,holdout_pred_positive_rate,combined_full_n,combined_full_sharpe,combined_full_dsr,combined_oos_n,combined_oos_sharpe,combined_oos_dsr,combined_oos_total_pnl
mda_positive,6,0.6251200222043147,0.035127670960746704,0.5486486486486486,0.66996699669967,0.6032689450222882,0.5348837209302325,0.7796610169491526,0.6344827586206897,0.5691056910569106,0.6991869918699187,389,4.113631485190402,0.9736791719800705,74,3.8234115248374487,0.7890958559979151,2513.8575000000005
full,49,0.6344724116042384,0.03758275080430479,0.5442359249329759,0.66996699669967,0.6005917159763313,0.494949494949495,0.8305084745762712,0.620253164556962,0.5121951219512195,0.8048780487804879,401,2.6926818203780583,0.8580409613736442,81,2.6772943494498187,0.690213460192076,1749.8722500000001
