p_value,optimal_d,is_stationary,is_valid,fracdiff_success,feature,is_excluded
0.0,0.0,True,True,True,feat_rsi_7,False
2.9596889438542545e-30,0.0,True,True,True,feat_rsi_14,False
3.324725069223722e-27,0.0,True,True,True,feat_rsi_21,False
0.0,0.0,True,True,True,feat_stoch_k_14,False
7.785747560228932e-16,0.0,True,True,True,feat_ewm_vol_10,False
4.8300497951908974e-14,0.0,True,True,True,feat_ewm_vol_20,False
2.963069551028247e-11,0.0,True,True,True,feat_ewm_vol_40,False
4.587282727983445e-13,0.0,True,True,True,feat_hl_vol_20,False
1.781253854473257e-28,0.0,True,True,True,feat_adx_14,False
3.764830643735966e-26,0.0,True,True,True,feat_vwap_dist_20,False
8.331272622343028e-23,0.0,True,True,True,feat_vwap_dist_60,False
2.1547850215718943e-26,0.0,True,True,True,feat_theil_imb_20,False
3.6378522068950046e-13,0.0,True,True,True,feat_theil_imb_60,False
9.00127369759253e-15,0.0,True,True,True,feat_amihud_20,False
1.9338043628793428e-13,0.0,True,True,True,feat_cs_spread_20,False
5.020372828416316e-16,0.0,True,True,True,feat_amihud_60,False
1.778404225503722e-14,0.0,True,True,True,feat_cs_spread_60,False
2.8783318804558436e-25,0.0,True,True,True,feat_cross_ma_ratio_5_20,False
1.4155100587131011e-21,0.0,True,True,True,feat_cross_ma_ratio_10_40,False
3.280213110115191e-24,0.0,True,True,True,feat_shannon_50,False
7.813546890738625e-27,0.0,True,True,True,feat_lz_entropy_50,False
1.5389463352392393e-13,0.0,True,True,True,feat_shannon_100,False
2.441714415282873e-22,0.0,True,True,True,feat_lz_entropy_100,False
5.56501068726732e-28,0.0,True,True,True,feat_serial_corr_lag1_20,False
2.382574735982177e-26,0.0,True,True,True,feat_serial_corr_lag5_20,False
1.731826674138415e-27,0.0,True,True,True,feat_serial_corr_lag10_20,False
0.0,0.0,True,True,True,feat_ljung_box_20,False
2.9998304237211383e-28,0.0,True,True,True,feat_adf_test_100,False
0.0,0.0,True,True,True,feat_sadf_10_60,False
,,,,,feat_roc_5,True
,,,,,feat_roc_10,True
,,,,,feat_roc_20,True
,,,,,feat_sin_time,True
,,,,,feat_cos_time,True
,,,,,feat_sin_dow,True
,,,,,feat_cos_dow,True
,,,,,feat_asia_sess,True
,,,,,feat_eu_sess,True
,,,,,feat_us_sess,True
,,,,,feat_cross_ma_sig_5_20,True
,,,,,feat_cross_ma_sig_10_40,True
